TIME,Inflation Rate
2016-05,1.019323
2016-06,0.9973265
2016-07,0.8271388
2016-08,1.062875
2016-09,1.463784
2016-10,1.635988
2016-11,1.692537
2016-12,2.074622
2017-01,2.500042
2017-02,2.737958
2017-03,2.380612
2017-04,2.19969
2017-05,1.874878
2017-06,1.633488
2017-07,1.727978
2017-08,1.938974
2017-09,2.232964
2017-10,2.041129
2017-11,2.202583
2017-12,2.109082
2018-01,2.070508
2018-02,2.211795
2018-03,2.359711
2018-04,2.462744
2018-05,2.801012
2018-06,2.871548
2018-07,2.949515
2018-08,2.69918
2018-09,2.276972
2018-10,2.52247
2018-11,2.176601
2018-12,1.910159
2019-01,1.551235
2019-02,1.520135
2019-03,1.862523
2019-04,1.99644
2019-05,1.790228
2019-06,1.648485
2019-07,1.811465
2019-08,1.74978
2019-09,1.711305
2019-10,1.764043
2019-11,2.051278
2019-12,2.28513
2020-01,2.486572
2020-02,2.334874
2020-03,1.539327
2020-04,0.3290967
2020-05,0.1179264
2020-06,0.6457331
2020-07,0.9860818
2020-08,1.309645
2020-09,1.371325
2020-10,1.182066
2020-11,1.174536
2020-12,1.362005
2021-01,1.39977
2021-02,1.676215
2021-03,2.619762
2021-04,4.159695
2021-05,4.992707
2021-06,5.391451
2021-07,5.365475
2021-08,5.251272
2021-09,5.390349
2021-10,6.221869
2021-11,6.809003
2021-12,7.036403
2022-01,7.479873
2022-02,7.871064
2022-03,8.542456
2022-04,8.25863
2022-05,8.581511
2022-06,9.059758
2022-07,8.524815
2022-08,8.262692
2022-09,8.20167
2022-10,7.745427
